Code,Name,Currency,Market Cap,Price, Change,Change %
MDZ,MEDIAZEST PLC ORD 0.01P,GBX,2.26,0.11,-,-
MERC,MERCIA ASSET MANAGEMENT PLC ORD 0.001P,GBX,125.66,29.5,-,-
MET,METIR PLC ORD GBP0.00001,GBX,3.44,0.78,-,-
MET1,METALS ONE PLC ORD GBP0.001,GBX,20.03,1.84,-0.05,-2.49%
MEX,TORTILLA MEXICAN GRILL PLC ORD GBP0.01,GBX,25.52,67.5,1.5,2.27%
MFAI,MINDFLAIR PLC ORD 0.25P,GBX,2.9,0.55,-,-
MFX,MANX FINANCIAL GROUP PLC ORD NPV,GBX,32.58,26.5,-,-
MHA,MHA PLC ORD 1P,GBX,417.39,145.5,-1,-0.68%
MIDW,MIDWICH GROUP PLC ORD GBP0.01,GBX,234.18,220,-4,-1.79%
MIRI,MIRRIAD ADVERTISING PLC ORD GBP0.00001,GBX,1.28,0.01,-,-
MKA,MKANGO RESOURCES LTD CMN SHS NPV (DI),GBX,172.9,49.5,-0.3,-0.60%
MLVN,MALVERN INTERNATIONAL PLC ORD GBP0.01,GBX,7.19,24.5,-,-
